text,label
eggs and toast,breakfast
chicken biryani,lunch
coffee and biscuits,snacks
burger and fries,dinner
idli sambar,breakfast
pasta with sauce,dinner
fruit salad,snacks
dal rice,lunch
chips and coke,snacks
pancakes with syrup,breakfast
grilled cheese sandwich,snacks
momos,snacks
noodles with veggies,dinner
oats with milk,breakfast
roti sabzi,lunch
vada pav,snacks
upma,breakfast
ice cream,snacks
samosa,snacks
sandwich and juice,snacks
poha,breakfast
aloo paratha,breakfast
chai and rusk,snacks
masala dosa,breakfast
rajma chawal,lunch
butter naan and paneer,dinner
fish curry and rice,dinner
lemon rice,lunch
methi thepla,breakfast
bread pakora,snacks
pav bhaji,dinner
kathi roll,dinner
misal pav,snacks
veg biryani,dinner
maggie noodles,snacks
uttapam,breakfast
kanda poha,breakfast
sev puri,snacks
moong dal chilla,breakfast
kachori and jalebi,snacks
medu vada,snacks
pongal,breakfast
rava dosa,breakfast
sambar rice,lunch
curd rice,lunch
banana chips,snacks
bisi bele bath,lunch
appam with stew,breakfast
rasam rice,lunch
mangalore buns,breakfast
pesarattu,breakfast
ragi dosa,breakfast
keema pav,snacks
aloo puri,breakfast
beetroot cutlet,snacks
chole bhature,lunch
masala puri,snacks
puliogare,lunch
kharabath,breakfast
akhni pulao,lunch
malabar parotta with curry,dinner
mushroom masala,dinner
vegetable stew,dinner
palak paneer,dinner
tamarind rice,lunch
sabudana khichdi,breakfast
sprouts salad,snacks
corn chaat,snacks
paneer tikka,snacks
rajma tikki,breakfast
methi paratha,snacks
gobi manchurian,dinner
egg curry,dinner
veg kurma,lunch
kootu curry,snacks
moong dal halwa,snacks
kachumber salad,lunch
jeera rice,lunch
avial,breakfast
daliya porridge,snacks
sabudana vada,lunch
vegetable pulao,dinner
baingan bharta,breakfast
kal dosa,snacks
aloo tikki chaat,breakfast
sattu paratha,breakfast
tomato bath,breakfast
egg bhurji,lunch
makki di roti and sarson da saag,dinner
kofta curry,lunch
lauki chana dal,dinner
khichdi,snacks
patra,breakfast
idiyappam with coconut milk,lunch
thayir sadam,dinner
thukpa,breakfast
paneer bhurji,lunch
veg fried rice,dinner
dal makhani,breakfast
paneer paratha,dinner
paneer butter masala,dinner
chicken tikka masala,dinner
malai kofta,lunch
dal tadka,dinner
butter chicken,dinner
veg handi,dinner
chicken korma,dinner
shahi paneer,lunch
matar paneer,lunch
veg jalfrezi,snacks
chicken 65,dinner
tandoori roti and sabzi,dinner
garlic naan and paneer,dinner
rumali roti with kebab,lunch
methi malai matar,lunch
dum aloo,lunch
bhindi masala,dinner
egg masala curry,dinner
veg kolhapuri,lunch
mushroom do pyaza,lunch
veg fried rice,lunch
chicken fried rice,lunch
egg fried rice,snacks
veg hakka noodles,snacks
chicken hakka noodles,snacks
schezwan noodles,dinner
spaghetti with marinara sauce,dinner
penne arrabbiata,dinner
mac and cheese,dinner
vegetable pasta,lunch
prawn biryani,lunch
mutton biryani,lunch
chicken biryani,lunch
veg biryani,lunch
hyderabadi biryani,dinner
tandoori chicken biryani,lunch
fried rice with paneer,lunch
vegetable pulao,snacks
pulao,dinner
vegetable chowmein,dinner
veg spaghetti,dinner
chicken spaghetti,snacks
garlic bread with pasta,snacks
coke,snacks
pepsi,snacks
lemon soda,snacks
orange juice,breakfast
apple juice,breakfast
buttermilk,snacks
lassi,breakfast
masala chai,snacks
filter coffee,snacks
sweet lime soda,snacks
tea,snacks
green tea,snacks
mint lemonade,breakfast
nimbu pani,snacks
mango lassi,snacks
thums up,snacks
ginger tea,snacks
milkshake,snacks
coconut water,snacks
fruit punch,snacks
sugarcane juice,snacks
milk tea,snacks
chilled coffee,snacks
falooda,snacks
badam milk,dinner
rose milk,dinner
watermelon juice,dinner
vegetable pizza,dinner
cheese pizza,snacks
pepperoni pizza,snacks
margarita pizza,snacks
chicken burger,snacks
veg burger,snacks
cheese burger,snacks
paneer tikka burger,snacks
chicken wings,snacks
grilled chicken sandwich,lunch
prawn burger,lunch
fish burger,lunch
tomato soup,lunch
sweet corn soup,lunch
vegetable soup,lunch
lentil soup,lunch
mushroom soup,lunch
pumpkin soup,lunch
hot and sour soup,lunch
manchow soup,lunch
clear soup,lunch
cream of tomato soup,lunch
chicken clear soup,lunch
spicy tomato soup,dinner
roti,dinner
chapati,dinner
naan,dinner
garlic naan,lunch
butter naan,breakfast
tandoori roti,breakfast
laccha paratha,breakfast
aloo paratha,breakfast
methi paratha,lunch
paneer paratha,snacks
gobi paratha,breakfast
makki di roti,dinner
khakra,breakfast
paratha with curd,lunch
rumali roti,lunch
thepla,breakfast
bajra roti,lunch
jowar roti,lunch
pudina paratha,lunch
dosa,breakfast
masala dosa,breakfast
rava dosa,breakfast
